,영단어,의미
1,abort,유산하다
2,absurd,불합리한
3,accord,일치하다
4,accumulate,축적하다
5,acquaint,"익히다, 숙지하다"
6,acquisition,획득
7,adverse,"부정적인, 불리한"
8,aesthetic,미적인
9,affiliate,"제휴하다, 가입하다"
10,allocate,할당하다
11,amplify,확대하다
12,archive,기록보관소
13,assault,습격
14,attorney,변호사
15,authentic,진짜의
16,bankrupt,"파산한, 파산자"
17,bishop,주교
18,blast,돌풍
19,breed,"낳다, 기르다"
20,brew,양조하다
21,brute,"야수, 짐승같은"
22,bulk,"(큰) 규모, 양; 대부분"
23,caption,"설명, 표제"
24,cater,음식을 공급하다; ~에 맞추다
25,cathedral,대성당
26,chamber,방
27,chronic,만성의
28,commence,시작하다
29,commodity,상품
30,compatible,"호환이 되는, 양립할 수 있는"
31,compel,억지로 -시키다
32,compensate,배상하다
33,compile,편찬하다
34,component,구성하는 성분
35,compound,"섞다, 혼합하다"
36,comprise,구성되다
37,compromise,타협; 타협하다
38,compulsory,의무적인
39,conceive,상상하다
40,condemn,나무라다
41,confer,주다
42,consensus,(의견 등의)일치
43,consent,승낙하다
44,conserve,보존하다
45,constitute,구성하다
46,constrain,강제하다
47,contemporary,현대의
48,contend,싸우다
49,contradict,반박하다
50,convention,관례
51,convert,바꾸다
52,coordinate,"조직화[편성]하다, 조정하다, 잘 어울리다; 좌표"
53,corridor,복도
54,counterpart,"상대, 대응 관계에 있는 사람[것]"
55,county,자치주[군]
56,creek,시내
57,creep,기다
58,criteria,criterion(기준)의 복수형
59,currency,"통화, 통용"
60,curriculum,교육과정
61,curse,저주
62,custody,보호
63,cynical,냉소적인
64,decent,점잖은
65,dedicate,"바치다, 헌정하다"
66,deficiency,결핍
67,deficit,"적자, 결손"
68,degrade,"비하하다, 분해되다"
69,delegate,위임하다; 대표
70,deliberate,숙고하다
71,depict,묘사하다
72,deposit,보증금; 두다
73,deprive,빼앗다
74,designate,지정하다
75,diabetes,당뇨병
76,dictate,받아쓰게 하다; 명령하다
77,dignity,위엄
78,dimension,"크기, 치수, 규모"
79,dine,저녁식사를 하다
80,discharge,떠나는 것을 허락하다; 해고하다
81,discourse,"담론, 담화"
82,discriminate,"구별하다, 차별하다"
83,displace,대신[대체]하다
84,dispute,"분쟁, 반박하다"
85,disrupt,방해하다
86,distort,"비틀다, 왜곡하다"
87,divine,신의
88,dominant,우세한
89,dose,1회복용량; 투약하다
90,draft,"원고, 초안"
91,drain,배수하다
92,dread,"두려워하다, 두려움"
93,dual,둘의
94,elaborate,공들인
95,embrace,포옹하다
96,emit,방사하다
97,enforce,실시하다
98,enroll,명부에 올리다
99,entitle,자격을 주다
100,equate,동일시하다
101,erect,똑바로 선
102,estate,"사유지, 토지"
103,ethical,"윤리적인, 도덕상의"
104,ethnic,인종의
105,evacuate,비우다
106,exclusive,배타적인
107,executive,집행의
108,expertise,전문 지식[기술]
109,explicit,명백한
110,extract,뽑아내다
111,extraordinary,이상한
112,facilitate,쉽게하다
