,영단어,의미
1,istinguish,Medical experts d********** between two types of diseases: infectious and noninfectious.
2,istinguish,"Not only were listeners in his study able to d********** between voluntary and involuntary laughter, but they could also d********** laughter among friends from laughter among strangers. This ability to d********** also extended across cultures."
3,volved,"These insects e****** over millions of years to bite humans and eat their blood, which spreads the disease."
4,volved,"Perhaps because both types of laughter e****** in early humans, this is true across cultures."
5,ndustrialized,"People from smaller, less i************* regions were generally better at this task."
6,rimarily,"In most industrialized countries, however, it is p******** noninfectious diseases that affect the largest number of people."
7,rimarily,"For more than 4 million years, laughter has been p******** a social activity."
8,rigin,"For many years, the o***** of these diseases was a mystery, but today we understand them better."
9,rigins,"To answer this question, we need to consider the o****** of laughter."
10,nnate,"A combination of i***** factors, such as your genes, and lifestyle choices can cause these diseases."
11,merged,"Sadly, in recent years, noninfectious diseases have e****** as a major problem in less industrialized nations as well."
12,ontagious,What human feelings or behavior do you think are c*********?
13,ontagious,"Finally, it can be c*********. You are more likely to laugh when you hear someone else laugh."
14,hreatening,Scientists believe that chimp laughter may be a way to show that the activity is just for fun and not t**********.
15,ngage in,"Most primates, including chimpanzees and gorillas, e******** some form of laughter, though it does not sound like human laughter."
16,dorable,Many people love watching online videos of kittens because kittens are so a*******.
17,dorable,A simple game of peekaboo can send babies into a******* giggles.
18,pparent,It was immediately a******* that the show wasn't funny. The first joke was awful.
19,pparent,It soon became a******* that there were.
20,ssume,It's reasonable to a***** that people tell the truth most of the time. It's fairly normal.
21,ssumed,"Before doing this research, like most of us, Provine had a****** that whatever was said before the laugh (the pre-laugh comment) would be something funny."
22,ond,Experts believe that the b*** between identical twins is especially strong.
23,onds,"He concluded that like the laughter that evolved among early humans, people today use laughter to form and strengthen social b****."
24,ully,Some people send unpleasant messages online to b**** other people they don't like.
25,ullying,This kind of laughter can be especially unkind when several people laugh together at another person. Then it can become a form of b*******.
26,pisodes,There were several e******* of violence in the city last night. One involved a fight at a park.
27,pisodes,"After listening to and studying hundreds of these e*******, he estimated that between 80 and 90 percent of laughter is social."
28,umorous,"Seeing something h*******, such as a comedy, usually makes people laugh."
29,umorous,"Although Provine's research shows most laughter is not in response to anything h*******, of course, we do laugh at funny things."
30,urely,Many Hollywood movies have no important message. They are p***** for entertainment.
31,urely,"Indeed, just as for early humans, today, most laughter has a p***** social function."
32,eased,Her brothers always t***** her about being the youngest. She didn't like it.
33,easing,"With friends, this could be just gentle t******."
34,urn out,Even a well-planned trip can t******* to be a disaster if the weather is bad.
35,urns out,"Yet, even this kind of laughter t******** to be social."
36,ggressive,An a********* dog can be frightening and sometimes even dangerous.
37,ggressive,"However, in the safer city, where juncos have several families a year, females prefer less a********* males who will help with the babies."
38,ircumstances,"In normal c************, lions have between two and six babies every year."
39,ircumstances,"For one species of bird, the North American junco, these new c************ have even had an impact on how the birds choose a mate."
40,enes,G**** are partly responsible for how we look and behave.
41,enes,"As a result, the g**** for short wings have now spread across the entire species."
42,redators,Some animals hide in trees so they can avoid p********.
43,redators,"There are fewer p********, and humans give them greater access to food."
44,andom,The activity of the bacteria appears to be r*****. Researchers cannot find any pattern.
45,andom,"Evolution is the process by which r***** changes in genes, called mutations, occur in a species."
46,uited to,"Some people are s******** desk jobs, whereas others prefer jobs with more variety."
47,uited to,Some animals are naturally more s******** city life because they don't need to change their habits very much.
48,urface,The s****** of the lake reflects the sunlight.
49,urfaces,"Both of these changes help them climb the smoother s******* of the city, like walls and windows."
50,erritory,Male birds of some species threaten other males who come into their t********.
51,erritories,"Since most land animals are unable to cross city roads and highways, their t********** have become much smaller."
52,hrive,Many wild animals do not t***** in zoos. They need to live in the wild.
53,hrive,"Although many scientists see this as a negative development — and, indeed, some animals do not survive these changes — surprisingly, many animals t***** in urban areas."
54,raits,People with personality t***** such as generosity and kindness are usually well liked.
55,raits,"However, new research suggests that these smaller gene pools may make it easier for beneficial t***** to spread."
56,alculate,Scientists c******** that wild birds outnumber humans 6 to 1.
